Category,Description
Training,Self
Training,Tat check
Training,Checker tesr
IT,App dev
Miscellaneous,cheque collection from arvind24
Miscellaneous,Excel doc for module attribute lusting
Miscellaneous,Welcome
Miscellaneous,Welcome
Training,Conduct training to the new candidates
Training,Conduct training for new candidates
Training,Noti check
Other,Development
IT,IT
Miscellaneous,6 scripts for upgrade
Training,Energy device master module
IT,test
Other,Hey sale bill auto generation and pdf generate automatically
Other,License user count problem
Other,Auto license and upgrade mechanism on client system and confirmation show on our side
Operations,Employee Temperature Sheet
Training,Development of material test certificate
Training,Development of material test certificate
IT,Suggestion/Bug Report
Other,IT database needs compression
IT,Need production module app
IT,design of audio record app
IT,Indent block flow diagram
Miscellaneous,Module design of indent
Other,Go to bsl for my problem
Miscellaneous,Need promptech get inward debit note problem.
Miscellaneous,Record cancellation and deletion concept
Miscellaneous,Buy laptop Amarjeet
IT,Relaese grn daybook value wise report
Other,Contractor master spg and adv
IT,Place the field MTC in purchase order v1
Miscellaneous,Complete all procedure of contractor master
Finance,CHEQUE from Pooja Metal and Technowell
Logistics,Mdu
IT,Required Salary head details in Hr main form
IT,IT chat view
IT,Discussion related to hr and audio app
IT,Mail send to vivek and jm and scpl
IT,Need discussion regarding hr app
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
IT,Suggestion/Bug Report
Training,Update check
Miscellaneous,Check salary head master
IT,Send empscore in user info and hierarchy getlist
IT,Ipl production status editing and multiple entries provision
Miscellaneous,Username and password of mail id
Planning,Checker
Training,Checker 2
Planning,Full
IT,Development of location master module
IT,Development of location master module
IT,Suggestion/Bug Report
Training,Hsbsn
IT,Module design related to costing sheet
IT,Discussion related to intalio tool for indentity no change
IT,Database restore on developer laptop
IT,Test
Marketing & Sales,Arvind and agro cheque collection
Operations,Cancelled and posted field required in advance search
Training,Give app update
IT,test
Miscellaneous,Shub ham system not access through network as also any desk not there
IT,Remove score from last name in hierarchy
Logistics,Ask computer
Other,Harddisk change
Other,Harddisk change
